Subject ID,Song ID,Playing Time,Fixation Count,Fixation Duration,Saccade Length,Saccade Duration,Path Velocity,
014,0,64350,8,403.625,435.333107143,8764.85714286,0.35661543,
014,1,73775,25,280.0,378.619472083,2787.875,0.39019929125,
014,2,145553,60,443.45,331.226580299,2008.47761194,1.0357695706,
014,3,113278,47,402.553191489,218.155898833,1863.51666667,0.898886579833,
014,4,572186,319,379.589341693,148.09942506,1420.93674699,0.577421625009,
015,0,110248,166,430.120481928,231.621207287,237.989361702,2.05798210186,
015,1,54457,88,422.045454545,127.280070896,195.970149254,1.26085273711,
015,2,158211,219,505.388127854,137.068611622,231.223587224,1.19535966314,
015,3,98424,177,351.90960452,142.424095298,202.322884013,1.40595176812,
015,4,409780,517,489.284332689,108.613970823,262.204225352,1.08593022075,
015,5,269156,442,430.834841629,124.092736492,167.709183673,1.36863377812,
016,0,46762,33,680.333333333,197.876244492,850.661016949,0.932661565763,
016,1,46863,45,488.444444444,153.613095233,821.127906977,0.729259149884,
016,2,123337,111,480.783783784,155.143946281,633.851239669,1.00259932802,
016,3,115843,109,392.990825688,134.913939773,749.242424242,0.651461837424,
016,4,288409,176,378.630681818,136.8582444,1287.61142857,0.560069040177,
016,5,249604,238,441.798319328,128.430847587,638.923076923,0.749084748916,
017,0,30443,6,1021.33333333,313.371288,5056.0,0.120632724,
017,1,97424,15,1265.66666667,386.515931429,5617.07142857,0.457059788286,
017,2,85300,14,827.428571429,229.56622375,4751.0,0.328864739437,
017,3,141522,11,893.0,360.447397,13183.3,0.363544732,
017,4,63053,11,3031.18181818,155.76478,2997.5,0.406362521,
017,5,272153,50,810.62,322.78312449,4731.06122449,1.10104473359,
018,0,38271,67,416.597014925,159.533052366,250.010752688,1.54234395914,
018,1,52592,89,350.337078652,157.872918125,251.159722222,1.56593971854,
018,2,175629,267,428.018726592,113.941744737,231.135338346,1.48751175553,
018,3,134361,214,387.163551402,130.554347794,283.647058824,1.20964949838,
018,4,87064,96,316.84375,233.660701121,512.767241379,2.58557459115,
018,5,57022,121,358.066115702,124.126923653,126.634730539,1.79156377389,
019,0,35639,39,309.794871795,241.839991136,626.977272727,1.94677685318,
019,1,43499,47,336.659574468,209.009130667,556.833333333,1.64388376633,
019,2,114576,146,372.054794521,172.594104966,430.951724138,1.2318478931,
019,3,75407,86,265.627906977,169.322746263,588.535353535,1.08906943616,
019,4,221660,236,334.868644068,248.723460208,578.031141869,1.44914143111,
019,5,156544,209,332.980861244,138.464809856,418.995192308,1.0621218551,
020,0,44065,75,419.6,198.598345431,168.827586207,2.67657826664,
020,1,146253,217,374.912442396,113.130654881,343.80952381,1.41250481341,
020,2,3997,9,192.444444444,193.837715714,234.833333333,2.14625297881,
020,3,366,2,166.5,177.3669,166.0,1.068475,
020,4,1100,6,211.0,118.363042,33.2,3.5515992,
020,5,300,2,216.0,34.94271,34.0,1.027727,
021,0,98524,119,401.605042017,180.101475424,431.059322034,1.49520339424,
021,1,102154,150,327.886666667,113.003926913,377.630872483,1.13921739228,
021,2,231219,360,290.580555556,111.727447971,343.200477327,1.05532736669,
021,3,229220,342,285.736842105,114.080069678,346.920792079,1.2203997645,
021,4,2897,10,246.8,124.727721111,62.5555555556,1.93781484444,
021,5,0,1,300.0,0,0,0,
022,0,61719,7,1460.71428571,263.580025,8637.5,0.632830571667,
022,1,38304,7,1451.14285714,432.729283333,5557.0,0.08868733,
022,2,98956,11,1329.0,259.168456923,7199.69230769,0.194103380385,
022,3,94792,7,299.857142857,813.492316667,15504.3333333,2.02630515,
022,4,204273,39,1316.84615385,516.69582,4027.63157895,0.459349116579,
022,5,191917,29,906.034482759,351.573455,5920.57142857,0.50045504025,
023,0,65649,17,441.0,277.396168235,3826.29411765,0.855723004706,
023,1,59420,14,723.071428571,221.75346,3835.69230769,0.770021283923,
023,2,137992,27,611.814814815,291.323273421,3725.18421053,0.785885244737,
023,3,63018,13,407.384615385,375.742696818,3813.72727273,0.502268281364,
023,4,165936,51,502.392156863,178.916229538,2736.24615385,0.273506250708,
023,5,110014,25,852.56,371.220105,3195.53125,1.05031092344,
024,0,36172,12,604.916666667,285.572085625,4946.1875,0.45851227625,
024,1,147217,19,464.473684211,343.547195556,7708.83333333,0.271199621667,
024,2,154247,38,531.763157895,237.380031389,3175.48611111,0.443544265972,
024,3,283278,77,536.753246753,219.310894079,3188.35526316,0.528407056145,
024,4,17519,10,209.7,472.359377778,1735.66666667,0.909242988889,
024,5,173796,62,408.306451613,424.59429875,2141.67708333,0.821703969896,
025,0,44930,59,405.355932203,264.935175588,373.225490196,2.07046670039,
025,1,94659,148,299.837837838,133.035264104,359.369942197,1.32392465775,
025,2,233484,279,380.960573477,149.742004851,490.363036304,1.44480966571,
025,3,413678,583,412.457975986,101.866834437,309.399673736,1.35980050452,
025,4,5263,8,225.0,394.273907143,532.571428571,1.37453732857,
025,5,52025,47,427.340425532,167.342784531,696.3125,1.36009994991,
026,0,61385,10,1172.2,551.801341111,5540.33333333,0.72936078,
026,1,12657,3,522.0,494.3015,5794.5,1.90362476,
026,2,220794,55,789.072727273,221.119165484,2971.38709677,0.77831191879,
026,3,113078,22,1983.68181818,279.168390952,3322.42857143,0.833463536667,
026,4,299967,62,588.274193548,220.807725467,3872.45333333,0.372668531507,
026,5,200475,65,679.446153846,157.856043594,2446.546875,0.407246276047,
027,0,90030,68,444.338235294,213.178374828,741.896551724,1.42933599598,
027,1,49561,78,311.615384615,193.243534947,344.357894737,2.11891466695,
027,2,164138,181,416.044198895,117.584134087,471.264423077,1.21221917837,
027,3,78440,118,261.36440678,164.231076275,394.039215686,1.52788328464,
027,4,244443,185,327.47027027,172.812175955,1123.22272727,1.4837560517,
027,5,174597,196,322.964285714,164.009024272,617.422535211,1.31608384912,
028,0,50994,54,418.685185185,223.017283774,587.716981132,0.895344401321,
028,1,38003,61,317.180327869,172.559597209,312.906976744,1.22162771512,
028,2,113144,146,396.178082192,131.788941337,450.872093023,0.831095253488,
028,3,125802,198,301.282828283,150.969890711,337.299492386,1.16111692843,
028,4,213502,120,279.733333333,200.434634874,1538.62184874,0.795563894782,
028,5,205605,233,351.755364807,133.39689681,546.745689655,0.876608101862,
029,0,41967,66,528.393939394,162.331354568,167.740740741,1.74749352309,
029,1,34740,74,344.351351351,157.787501089,172.089108911,2.1058588503,
029,2,97491,175,407.817142857,146.245551609,155.293103448,1.52179184678,
029,3,85532,194,303.932989691,124.575269691,139.536082474,1.71395468412,
029,4,276451,347,375.069164265,108.36853136,421.549118388,1.0086959197,
029,5,174565,306,385.826797386,114.470158133,201.971518987,1.28249451642,
030,0,0,1,565.0,0,0,0,
030,1,105651,20,995.95,328.043928421,4542.0,0.508264259632,
030,2,167536,18,901.111111111,439.120848235,8969.52941176,0.781938768235,
030,3,132596,12,929.833333333,676.320572727,11067.0909091,1.382408155,
030,4,279815,93,957.387096774,363.11841568,3567.0295858,0.81046189074,
030,5,549337,86,986.441860465,458.180349529,5496.87058824,0.946329063529,
031,0,38237,71,297.887323944,162.359653596,267.606741573,1.84309474056,
031,1,41833,82,307.890243902,123.80582449,201.214285714,1.58583792214,
031,2,138525,263,338.395437262,93.3579826644,198.103806228,1.2199105617,
